ESTACION,MES,HORA,VEL
Estacion1,9,7,2.8911399243652114
Estacion1,9,8,3.617725752508358
Estacion1,9,9,4.109850581073599
Estacion1,9,10,4.421782178217818
Estacion1,9,11,4.687833333333329
Estacion1,9,12,4.794306246545055
Estacion1,9,13,4.897766884531595
Estacion1,9,14,4.869781420765022
Estacion1,9,15,4.742520547945197
Estacion1,9,16,4.540000000000007
Estacion1,9,17,4.1686559139784976
Estacion1,9,18,3.688996763754052
Estacion1,9,19,3.2646327683615874
Estacion1,9,20,3.1230167597765393
Estacion1,9,21,2.9026770775237023
Estacion1,9,22,2.8001112347052266
Estacion1,9,23,2.659491525423726
Estacion1,10,0,2.194944631680313
Estacion1,10,1,2.112852365026282
Estacion1,10,2,2.0077660594439144
Estacion1,10,3,2.023973256924547
Estacion1,10,4,2.101398938736133
Estacion1,10,5,2.187367405978787
Estacion1,10,6,2.122079772079776
Estacion1,10,7,2.2570405727923597
Estacion1,10,8,2.973621460506705
Estacion1,10,9,3.619167473378512
Estacion1,10,10,3.944745446053254
Estacion1,10,11,4.227952380952378
Estacion1,10,12,4.356371387967794
Estacion1,10,13,4.439961296565079
Estacion1,10,14,4.4747358309317935
Estacion1,10,15,4.448981525343434
Estacion1,10,16,4.084575714955465
Estacion1,10,17,3.6204802259887052
Estacion1,10,18,3.1242194891201542
Estacion1,10,19,2.761174713787955
Estacion1,10,20,2.5696813977389508
Estacion1,10,21,2.504628687690748
Estacion1,10,22,2.438346228239851
Estacion1,10,23,2.2644572526416944
Estacion1,11,0,1.968536585365858
Estacion1,11,1,1.8659090909090916
Estacion1,11,2,1.9259315206445098
Estacion1,11,3,2.0462834489593673
Estacion1,11,4,2.0667168674698835
Estacion1,11,5,2.1008154943934776
Estacion1,11,6,1.9629064039408894
Estacion1,11,7,1.976500769625449
Estacion1,11,8,2.670239282153532
Estacion1,11,9,3.2627965673902106
Estacion1,11,10,3.5638974358974354
Estacion1,11,11,3.889486552567246
Estacion1,11,12,4.176015857284438
Estacion1,11,13,4.317884990253409
Estacion1,11,14,4.386793372319692
Estacion1,11,15,4.227424749163872
Estacion1,11,16,3.8973506743737945
Estacion1,11,17,3.358012980529208
Estacion1,11,18,2.9732910156250005
Estacion1,11,19,2.490781250000002
Estacion1,11,20,2.1985436893203896
Estacion1,11,21,2.2071392659627955
Estacion1,11,22,2.095450097847358
Estacion1,11,23,2.0223046488625145
Estacion1,12,0,2.5150914634146337
Estacion1,12,1,2.4406120331950194
Estacion1,12,2,2.390764494612624
Estacion1,12,3,2.4264979338842965
Estacion1,12,4,2.5466666666666717
Estacion1,12,5,2.5783472803347256
Estacion1,12,6,2.4933367503844197
Estacion1,12,7,2.3535154274152736
Estacion1,12,8,3.0407312049433566
Estacion1,12,9,3.8346233230134184
Estacion1,12,10,4.376739356178616
Estacion1,12,11,4.8110497237569
Estacion1,12,12,5.088742393509117
Estacion1,12,13,5.251987609705731
Estacion1,12,14,5.380132113821133
Estacion1,12,15,5.360270410816437
Estacion1,12,16,5.01748971193416
Estacion1,12,17,4.481479591836727
Estacion1,12,18,3.7168595873175554
Estacion1,12,19,2.964884696016771
Estacion1,12,20,2.7335966298051626
Estacion1,12,21,2.644178628389159
Estacion1,12,22,2.6360351058337645
Estacion1,12,23,2.573006134969327
Estacion2,,,
Estacion2,1,0,0.7500000000000007
Estacion2,1,1,0.7317204301075269
Estacion2,1,2,0.7317204301075265
Estacion2,1,3,0.6989247311827957
Estacion2,1,4,0.7817204301075268
Estacion2,1,5,0.7698924731182797
Estacion2,1,6,0.6811827956989244
Estacion2,1,7,0.5967741935483871
Estacion2,1,8,0.7473118279569892
Estacion2,1,9,1.2086021505376345
Estacion2,1,10,1.6327956989247312
Estacion2,1,11,1.9322580645161287
Estacion2,1,12,2.242473118279569
Estacion2,1,13,2.4274193548387104
Estacion2,1,14,2.4166666666666665
Estacion2,1,15,2.315053763440861
Estacion2,1,16,2.3930107526881708
Estacion2,1,17,1.9048387096774213
Estacion2,1,18,1.1881720430107532
Estacion2,1,19,0.9403225806451604
Estacion2,1,20,0.8956989247311825
Estacion2,1,21,0.8370967741935482
Estacion2,1,22,0.7688172043010753
Estacion2,1,23,0.7526881720430111
Estacion2,2,0,0.7958333333333331
Estacion2,2,1,0.801190476190476
Estacion2,2,2,0.7869047619047622
Estacion2,2,3,0.7684523809523808
Estacion2,2,4,0.8172619047619052
Estacion2,2,5,0.7964285714285717
Estacion2,2,6,0.7202380952380951
Estacion2,2,7,0.6101190476190472
Estacion2,2,8,0.7363095238095237
Estacion2,2,9,1.092857142857143
Estacion2,2,10,1.3315476190476194
Estacion2,2,11,1.6131736526946097
Estacion2,2,12,1.9777777777777772
Estacion2,2,13,2.2646341463414643
Estacion2,2,14,2.277380952380953
Estacion2,2,15,2.2398809523809513
Estacion2,2,16,2.2184523809523813
Estacion2,2,17,1.9017857142857149
Estacion2,2,18,1.278571428571429
Estacion2,2,19,0.9916666666666668
Estacion2,2,20,0.9988095238095231
Estacion2,2,21,0.9624999999999996
Estacion2,2,22,0.9202380952380951
Estacion2,2,23,0.7940476190476194
Estacion2,3,0,0.6702898550724633
Estacion2,3,1,0.6496453900709216
Estacion2,3,2,0.6379432624113482
Estacion2,3,3,0.6219858156028372
Estacion2,3,4,0.6282608695652178
Estacion2,3,5,0.6666666666666673
Estacion2,3,6,0.6230496453900716
Estacion2,3,7,0.5826086956521742
Estacion2,3,8,0.8699275362318845
Estacion2,3,9,1.161111111111111
Estacion2,3,10,1.3813953488372102
Estacion2,3,11,1.728260869565218
Estacion2,3,12,2.183333333333334
Estacion2,3,13,2.464492753623187
Estacion2,3,14,2.3710144927536243
Estacion2,3,15,2.327636363636363
